Title,Link,Price,Engine_Capacity,Transmission,Steering,Type,Color,Manufactured_Year,Imported_Year,Fuel_Type,Interior_Color,Leasing,Drive_Type,Mileage,Condition
"Infiniti QX, 2018/2018",https://www.unegui.mn/adv/9344901_infiniti-qx-2018-2018/,150 сая₮,2.7 л,Автомат,Зөв,Жийп,Хар,2018,2018,Бензин,Лизинггүй,Лизинггүй,Бүх дугуй 4WD,90000 км,Дугаар авсан
"Toyota Land Cruiser 300, 2023/2023",https://www.unegui.mn/adv/9874937_toyota-land-cruiser-300-2023-2023/,320 сая₮,3.5 л,Автомат,Зөв,Жийп,Хар,2023,2023,Бензин,Лизинггүй,Лизинггүй,Бүх дугуй 4WD,34800 км,Дугаар авсан
"Toyota Prius 50, 2017/2025",https://www.unegui.mn/adv/9812153_toyota-prius-50-2016-2025/,27.6 сая₮,1.8 л,Автомат,Буруу,Суудлын тэрэг,Цагаан,2017,2025,Хайбрид,Банкны лизингтэй,Банкны лизингтэй,Урдаа FWD,227000 км,Дугаар аваагүй
"BYD Бусад, 2024/2025",https://www.unegui.mn/adv/9874898_byd-busad-2024-2025/,85 сая₮,1.5 л,Автомат,Зөв,Суудлын тэрэг,Хар саарал,2024,2025,Хайбрид,Лизинггүй,Лизинггүй,Урдаа FWD,13000 км,Дугаар авсан
"Toyota Axio, 2012/2021",https://www.unegui.mn/adv/9874865_toyota-axio-2012-2021/,14.8 сая₮,1.5 л,Автомат,Буруу,Суудлын тэрэг,Цагаан,2012,2021,Бензин,Лизинггүй,Лизинггүй,Урдаа FWD,200000 км,Дугаар авсан
"Toyota Alphard, 2015/2025",https://www.unegui.mn/adv/9580665_toyota-alphard-2015-2025/,65 сая₮70 сая₮,2.5 л,Автомат,Буруу,Гэр бүлийн,Хөх,2015,2025,Хайбрид,ББСБ лизингтэй,ББСБ лизингтэй,Бүх дугуй 4WD,371420 км,Дугаар аваагүй
"Toyota Alphard, 2015/2025",https://www.unegui.mn/adv/9580597_toyota-alphard-2015-2025/,65 сая₮69.5 сая₮,2.5 л,Автомат,Буруу,Гэр бүлийн,Цагаан,2015,2025,Бензин,Банкны лизингтэй,Банкны лизингтэй,Бүх дугуй 4WD,199140 км,Дугаар аваагүй
"Lexus RX 350, 2015/2025",https://www.unegui.mn/adv/9126268_lexus-rx-2015-2025/,90 сая₮96 сая₮,2.0 л,Автомат,Буруу,Жийп,Цагаан,2015,2025,Бензин,ББСБ лизингтэй,ББСБ лизингтэй,Бүх дугуй 4WD,117310 км,Дугаар авсан
"Honda Fit, 2016/2025",https://www.unegui.mn/adv/9874838_honda-fit-2016-2025/,19.8 сая₮,1.5 л,Автомат,Буруу,Суудлын тэрэг,Саарал,2016,2025,Хайбрид,ББСБ лизингтэй,ББСБ лизингтэй,Урдаа FWD,120000 км,Дугаар аваагүй
"Lexus ES, 2019/2025",https://www.unegui.mn/adv/9874822_lexus-es-2019-2025/,71 сая₮,2.5 л,Автомат,Буруу,Суудлын тэрэг,Хар саарал,2019,2025,Хайбрид,Банкны лизингтэй,Банкны лизингтэй,Урдаа FWD,54800 км,Дугаар аваагүй
